,stationname,cluster,ID,lat,lon,track_id,Area
331,059-0611_W,21,059-0611,33.97155,-83.31554,001-0185,
332,067-2330_W,174,067-2330,33.85013,-84.69571,001-0185,
333,067-2330_E,174,067-2330,33.85013,-84.69571,001-0185,
334,051-0109_S,97,051-0109,32.22384,-81.19492,001-0185,
335,051-0109_N,97,051-0109,32.22384,-81.19492,001-0185,
336,135-0267_N,154,135-0267,34.06646,-84.01054,001-0185,
337,135-0267_S,154,135-0267,34.06646,-84.01054,001-0185,
338,227-0166_E,112,227-0166,34.5139,-84.51775,001-0185,
339,227-0166_W,112,227-0166,34.5139,-84.51775,001-0185,
340,115-0025_S,85,115-0025,34.23257,-85.16234,001-0185,
341,115-0025_N,85,115-0025,34.23257,-85.16234,001-0185,
342,245-0214_W,107,245-0214,33.49057,-82.09494,001-0185,
343,245-0214_E,107,245-0214,33.49057,-82.09494,001-0185,
344,229-0163_E,10,229-0163,31.41384,-82.16505,001-0185,
345,229-0163_W,10,229-0163,31.41384,-82.16505,001-0185,
346,087-0125_S,15,087-0125,30.91494,-84.59775,001-0185,
347,087-0125_N,15,087-0125,30.91494,-84.59775,001-0185,
348,151-0412_S,141,151-0412,33.51414,-84.24069,001-0185,
349,151-0412_N,141,151-0412,33.51414,-84.24069,001-0185,
350,111-0269_N,106,111-0269,34.89237,-84.27557,001-0185,
351,111-0269_S,106,111-0269,34.89237,-84.27557,001-0185,
352,001-0183_N,13,001-0183,31.83156,-82.08647,001-0185,
353,001-0183_S,13,001-0183,31.83156,-82.08647,001-0185,
354,063-1032_N,180,063-1032,33.59292,-84.37698,001-0185,
355,063-1032_S,180,063-1032,33.59292,-84.37698,001-0185,
356,121-5474_N,148,121-5474,33.75852,-84.37856,001-0185,
357,121-5474_S,148,121-5474,33.75852,-84.37856,001-0185,
358,051-9816_E,34,051-9816,32.06259,-81.11121,001-0185,
359,089-9172_W,103,089-9172,33.67562,-84.3265,001-0185,
360,285-0248_S,4,285-0248,33.04224,-84.94972,001-0185,
361,285-0248_N,4,285-0248,33.04224,-84.94972,001-0185,
362,285-0227_N,4,285-0227,32.96873,-85.07405,001-0185,
363,285-0227_S,4,285-0227,32.96873,-85.07405,001-0185,
364,207-9507_S,61,207-9507,32.95647,-83.8127,001-0185,
365,135-0563_S,127,135-0563,33.84471,-84.01425,001-0185,
366,135-0563_N,127,135-0563,33.84471,-84.01425,001-0185,
367,175-0247_E,55,175-0247,32.51342,-83.0697,001-0185,
368,175-0247_W,55,175-0247,32.51342,-83.0697,001-0185,
369,089-9717_W,187,089-9717,33.88679,-84.2521,001-0185,
370,213-0112_S,139,213-0112,34.80516,-84.82125,001-0185,
371,213-0112_N,139,213-0112,34.80516,-84.82125,001-0185,
372,121-9511_S,81,121-9511,33.6858,-84.40277,001-0185,
373,185-0235_S,44,185-0235,30.83023,-83.32334,001-0185,
374,185-0235_N,44,185-0235,30.83023,-83.32334,001-0185,
375,021-0132_W,32,021-0132,32.81597,-83.70278,001-0185,
376,021-0132_E,32,021-0132,32.81597,-83.70278,001-0185,
377,089-0927_N,119,089-0927,33.65766,-84.32519,001-0185,
378,089-0927_S,119,089-0927,33.65766,-84.32519,001-0185,
379,245-0303_W,5,245-0303,33.38507,-82.00926,001-0185,
380,245-0303_E,5,245-0303,33.38507,-82.00926,001-0185,
381,089-9611_S,183,089-9611,33.89369,-84.2595,001-0185,
382,207-9408_N,61,207-9408,32.95162,-83.8123,001-0185,
383,031-0187_S,162,031-0187,32.3714,-81.84857,001-0185,
384,031-0187_N,162,031-0187,32.3714,-81.84857,001-0185,
385,051-9215_W,151,051-9215,32.0627,-81.11103,001-0185,
386,021-0258_N,65,021-0258,32.69355,-83.63823,001-0185,
387,021-0258_S,65,021-0258,32.69355,-83.63823,001-0185,
388,051-0369_E,34,051-0369,32.07277,-81.15187,001-0185,
389,051-0369_W,34,051-0369,32.07277,-81.15187,001-0185,
390,135-9528_W,181,135-9528,33.96472,-84.0982,001-0185,
391,095-0676_E,33,095-0676,31.54938,-84.16291,001-0185,
392,095-0676_W,33,095-0676,31.54938,-84.16291,001-0185,
393,121-0190_N,156,121-0190,33.58682,-84.54879,001-0185,
394,121-0190_S,156,121-0190,33.58682,-84.54879,001-0185,
395,153-0332_S,2,153-0332,32.62464,-83.6417,001-0185,
396,153-0332_N,2,153-0332,32.62464,-83.6417,001-0185,
397,127-0312_S,3,127-0312,31.23441,-81.50944,001-0185,
398,127-0312_N,3,127-0312,31.23441,-81.50944,001-0185,
399,127-0105_W,3,127-0105,31.1407,-81.58226,001-0185,
400,127-0105_E,3,127-0105,31.1407,-81.58226,001-0185,
401,059-0613_E,21,059-0613,33.99818,-83.40873,001-0185,
402,059-0613_W,21,059-0613,33.99818,-83.40873,001-0185,
403,089-9171_N,119,089-9171,33.67286,-84.3325,001-0185,
404,063-0096_S,159,063-0096,33.52804,-84.42082,001-0185,
405,063-0096_N,159,063-0096,33.52804,-84.42082,001-0185,
406,275-0123_W,6,275-0123,30.79992,-83.75857,001-0185,
407,275-0123_E,6,275-0123,30.79992,-83.75857,001-0185,
408,063-1207_W,30,063-1207,33.61827,-84.43357,001-0185,
409,063-1207_E,30,063-1207,33.61827,-84.43357,001-0185,
410,121-9999_N,142,121-9999,33.82325,-84.35915,001-0185,
411,121-9999_S,142,121-9999,33.82325,-84.35915,001-0185,
412,039-0218_S,123,039-0218,30.75257,-81.65076,001-0185,
413,039-0218_N,123,039-0218,30.75257,-81.65076,001-0185,
414,017-0143_N,88,017-0143,31.72893,-83.24716,001-0185,
415,017-0143_S,88,017-0143,31.72893,-83.24716,001-0185,
416,063-0383_S,8,063-0383,33.48828,-84.39779,001-0185,
417,063-0383_N,8,063-0383,33.48828,-84.39779,001-0185,
418,051-0138_S,43,051-0138,32.03324,-81.12763,001-0185,
419,051-0138_N,43,051-0138,32.03324,-81.12763,001-0185,
420,135-9200_N,101,135-9200,33.96421,-84.09559,001-0185,
421,089-3354_S,120,089-3354,33.78967,-84.24671,001-0185,
422,089-3354_N,120,089-3354,33.78967,-84.24671,001-0185,
423,089-9014_N,185,089-9014,33.89111,-84.25655,001-0185,
424,121-9645_S,18,121-9645,33.79683,-84.39516,001-0185,
425,089-3307_W,165,089-3307,33.7157,-84.25111,001-0185,
426,089-3307_E,165,089-3307,33.7157,-84.25111,001-0185,
427,225-0112_S,126,225-0112,32.66794,-83.74428,001-0185,
428,225-0112_N,126,225-0112,32.66794,-83.74428,001-0185,
429,089-0644_E,144,089-0644,33.88582,-84.29653,001-0185,
430,089-0644_W,144,089-0644,33.88582,-84.29653,001-0185,
431,089-3385_W,51,089-3385,33.82033,-84.24245,001-0185,
432,089-3385_E,51,089-3385,33.82033,-84.24245,001-0185,
433,205-0243_S,91,205-0243,31.11799,-84.13772,001-0185,
434,205-0243_N,91,205-0243,31.11799,-84.13772,001-0185,
435,029-0103_S,12,029-0103,31.91226,-81.35294,001-0185,
436,029-0103_N,12,029-0103,31.91226,-81.35294,001-0185,
437,121-5463_S,124,121-5463,33.67629,-84.39758,001-0185,
438,121-5463_N,124,121-5463,33.67629,-84.39758,001-0185,
439,137-0152_N,167,137-0152,34.66717,-83.43325,001-0185,
440,137-0152_S,167,137-0152,34.66717,-83.43325,001-0185,
441,063-1192_S,31,063-1192,33.59806,-84.3896,001-0185,
442,063-1192_N,31,063-1192,33.59806,-84.3896,001-0185,
443,051-0132_S,25,051-0132,32.08096,-81.13169,001-0185,
444,051-0132_N,25,051-0132,32.08096,-81.13169,001-0185,
445,139-0514_N,116,139-0514,34.38446,-83.9042,001-0185,
446,139-0514_S,116,139-0514,34.38446,-83.9042,001-0185,
447,063-1023_S,31,063-1023,33.5677,-84.3715,001-0185,
448,063-1023_N,31,063-1023,33.5677,-84.3715,001-0185,
449,187-0067_S,143,187-0067,34.46553,-83.96928,001-0185,
450,187-0067_N,143,187-0067,34.46553,-83.96928,001-0185,
451,051-0387_S,39,051-0387,32.2002,-81.18769,001-0185,
